Sno.,Proposal No.,MOEFCC File No.,Project Name,Company,Proposal Status,View,S.No,Proposal Details,Location,Important Dates,Category,Company/Proponent,Forest Clearance Required ?,* Attached Files
"
                            1
                        ","
 
","

The existing unit is already in operation before Ea 
","

proposed expansion of resin manufacturing
","

CENTURY PLYBOARDS I LIMITED
","
TOR GRANTED
","






",https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/3112512361216VSHCNTOR.PDF,,,,,,,
"
                            2
                        ","
IA/AN/IND/3050/2012
","

J-11011/172/2011-IA.II(I)
","

Drilling
","

M/s Eni India Limited.
","
EC GRANTED
","






",1,"Proposal No : IA/AN/IND/3050/2012
File No : J-11011/172/2011-IA.II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of apply for TOR : 07/08/2012
Date of TOR Granted : N/A
Date of Receipt for EC :
Date of EC Granted : 06 Feb 2013",Industrial Projects-1,M/s Eni India Limited.,,"https://environmentclearance.nic.in/writereaddata/Form-1A/EC/186325959_172_11.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/27_Andman_EC-AN-DWN-2003-2-ENI%20LETTER.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/47_HLY-14%20HOCP.pdf"
"
                            3
                        ","
IA/AN/IND/3890/2010
","

J-11011/274/2010-IA.II(I)
","

Proposed for setting up a Cement Grinding Unit 
","

M/s. Global Devcon Private Limited. 
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/3890/2010
File No : J-11011/274/2010-IA.II(I)
Proposal Name : Proposed for setting up a Cement Grinding Unit","State : Andaman and Nicobar
District : South Andaman
Village : Mithagari,","Date of Receipt of Proposal : 31/05/2010
Date of TOR Granted : 16 Sep 2010",Industrial Projects-1,M/s. Global Devcon Private Limited.,,https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=2886
"
                            4
                        ","
IA/AN/IND/6616/2007
","

J-11011/853/2007-IA.II(I)
","

Exploratory drilling in Offshore for the Block MN-DWN2003/1 (MN-V-D4), Bay of Bengal
","

M/s  Reliance Industries Limited
","
EC GRANTED
","






",1,"Proposal No : IA/AN/IND/6616/2007
File No : J-11011/853/2007-IA.II(I)
Proposal Name : Exploratory drilling in Offshore for the Block MN-DWN2003/1 (MN-V-D4), Bay of Bengal","State : Andaman and Nicobar
District : null
Village :",Date of EC Granted : 16 Oct 2007,Industrial Projects-1,M/s Reliance Industries Limited,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/IAANIND6616200729EC.pdf
"
                            5
                        ","
IA/AN/MIS/21937/2013
","

11-73/2013-IA.III
","

Expansion of existing Hotel Resort Bay Island, Port Blair, South Andaman, M/s Bay Islands Hotels Limited
","

M/s Bay Islands Hotels Limites
","
EC GRANTED
","






",1,"Proposal No : IA/AN/MIS/21937/2013
File No : 11-73/2013-IA.III
Proposal Name : Expansion of existing Hotel Resort Bay Island, Port Blair, South Andaman, M/s Bay Islands Hotels Limited","State : Andaman and Nicobar
District : South Andaman
Village : South Andaman","Date of apply for TOR : 22/11/2013
Date of TOR Granted : N/A
Date of Receipt for EC : 22 Nov 2013
Date of EC Granted : 17 Jun 2015",Infrastructure and Miscellaneous Projects & CRZ,M/s Bay Islands Hotels Limites,,"https://environmentclearance.nic.in/writereaddata/form-1/0_0_09_Apr_2014_125840393_1A1A_Form-1andEIAReport(1).pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/EC/062020151CRZ11-73-2013.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/4119122612121HTLMappingandrecommendationfromSCZMA.pdf"
"
                            6
                        ","
IA/AN/THE/113957/2019
","

J-13012/14/2018-IA.II(T)
","

50 MW DUAL FUEL BASED POWER PROJECT AT ANDAMAN & NICOBAR
","

NTPC VIDYUT VYAPAR NIGAM LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/THE/113957/2019
File No : J-13012/14/2018-IA.II(T)
Proposal Name : 50 MW DUAL FUEL BASED POWER PROJECT AT ANDAMAN & NICOBAR","State : Andaman and Nicobar
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 02 Aug 2019",Thermal Projects,NTPC VIDYUT VYAPAR NIGAM LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/8119122212113D4DJTOR.PDF
"
                            7
                        ","
IA/AP/IND/104312/2019
","

F. No. J-11011/387/2008-IA-II (I)
","

Sahara Ferro Alloys Limited
","

M/S. SAHARA FERRO ALLOYS PVT. LTD
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/104312/2019
File No : F. No. J-11011/387/2008-IA-II (I)
Proposal Name : Sahara Ferro Alloys Limited","State : Andhra Pradesh
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 23 May 2012",Industrial Projects-1,M/S. SAHARA FERRO ALLOYS PVT. LTD,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/511312301217FDFNVExtensionEC.PDF
"
                            8
                        ","
IA/AP/IND/104312/2019
","

F. No. J-11011/387/2008-IA-II (I)
","

Sahara Ferro Alloys Limited
","

M/S. SAHARA FERRO ALLOYS PVT. LTD
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/104312/2019
File No : F. No. J-11011/387/2008-IA-II (I)
Proposal Name : Sahara Ferro Alloys Limited","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Industrial Projects-1,M/S. SAHARA FERRO ALLOYS PVT. LTD,,
"
                            9
                        ","
IA/AP/IND/104737/2019
","

J-11011/889/2007-IA II (I)
","

Transfer of Environment Clearance of 1x18 MW Captive Power Plant located at village Bilakalagudur, Mandal Gadivemula, Distt. Kurnool, Andhra Pradesh of M/s JSW Cement Limited (formerly M/s Gayathri Ce
","

JSW CEMENT LTD
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/104737/2019
File No : J-11011/889/2007-IA II (I)
Proposal Name : Transfer of Environment Clearance of 1x18 MW Captive Power Plant located at village Bilakalagudur, Mandal Gadivemula, Distt. Kurnool, Andhra Pradesh of M/s JSW Cement Limited (formerly M/s Gayathri Ce","State : Andhra Pradesh
District :
Village :",Date of EC Granted : 09 Mar 2016,Industrial Projects-1,JSW CEMENT LTD,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/511812521217V9OKSReprint.pdf
"
                            10
                        ","
IA/AP/IND/104845/2006
","

J-11011/76/2007-IA-II(I)(T)
","

Expansion of Integrated Cement Plant (Clinker, Cement & WHRS) along with installation of Solar Power Plant at Villages: Chinnakomerla & Dugganpalli, Mandal: Mylavaram, District: YSR Kadapa (Andhra Pra
","

DALMIA CEMENT BHARAT LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/104845/2006
File No : J-11011/76/2007-IA-II(I)(T)
Proposal Name : Expansion of Integrated Cement Plant (Clinker, Cement & WHRS) along with installation of Solar Power Plant at Villages: Chinnakomerla & Dugganpalli, Mandal: Mylavaram, District: YSR Kadapa (Andhra Pra","State : Andhra Pradesh
District : Kadapa
Village :","Date of apply for TOR : 19/12/2006
Date of TOR Granted : 19 Dec 2006
Date of Receipt for EC : 19 Dec 2006
Date of EC Granted : 05 Apr 2007",Industrial Projects-1,DALMIA CEMENT BHARAT LIMITED,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/08_May_2019_175449927XOAYH7UBEnvironmentalClearance.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/EC/08_May_2019_175449943K94NUBTFEnvironmentalClearance.pdf"
"
                            11
                        ","
IA/AP/IND/104845/2006
","

J-11011/76/2007-IA-II(I)(T)
","

Expansion of Integrated Cement Plant (Clinker, Cement & WHRS) along with installation of Solar Power Plant at Villages: Chinnakomerla & Dugganpalli, Mandal: Mylavaram, District: YSR Kadapa (Andhra Pra
","

DALMIA CEMENT BHARAT LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/104845/2006
File No : J-11011/76/2007-IA-II(I)(T)
Proposal Name : Expansion of Integrated Cement Plant (Clinker, Cement & WHRS) along with installation of Solar Power Plant at Villages: Chinnakomerla & Dugganpalli, Mandal: Mylavaram, District: YSR Kadapa (Andhra Pra","State : Andhra Pradesh
District : Kadapa
Village :","Date of Receipt of Proposal : 19/12/2006
Date of TOR Granted : 05 Apr 2007",Industrial Projects-1,DALMIA CEMENT BHARAT LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/08_May_2019_175449927XOAYH7UBEnvironmentalClearance.pdf
"
                            12
                        ","
IA/AP/IND/105923/2019
","

J-11011/126/2011-IA II (1) 
","

Chilamkur Cement Plant- The India Cement Limited
","

India Cements Ltd.,
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/105923/2019
File No : J-11011/126/2011-IA II (1)
Proposal Name : Chilamkur Cement Plant- The India Cement Limited","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 01 Feb 2019",Industrial Projects-1,"India Cements Ltd.,",,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/51120124112179D4WRPrevioustors.pdf
