Sno.,Proposal No.,MOEFCC File No.,Project Name,Company,Proposal Status,View,S.No,Proposal Details,Location,Important Dates,Category,Company/Proponent,Forest Clearance Required ?,* Attached Files
"
                            1
                        ","
IA/AN/IND/2104/2012
","

J-11011-239/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/2104/2012
File No : J-11011-239/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of Receipt of Proposal : 21/05/2012
Date of TOR Granted : 21 Feb 2013",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/17_EC_form-1_AN-DWN-2009-13.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_16_Apr_2013_1127413801239tor.pdf"
"
                            2
                        ","
IA/AN/IND/2370/2007
","

J-11011/1135/2007-IA.II(I)
","

Exploratory Drilling in Block AN-DWN-2003/2 in Andaman & Nicobar 
","

M/s  ENI India Ltd.
","
EC GRANTED
","






",1,"Proposal No : IA/AN/IND/2370/2007
File No : J-11011/1135/2007-IA.II(I)
Proposal Name : Exploratory Drilling in Block AN-DWN-2003/2 in Andaman & Nicobar","State : Andaman and Nicobar
District : null
Village :",Date of EC Granted : 27 Nov 2007,Industrial Projects-1,M/s ENI India Ltd.,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/IAANIND237020071EC.pdf
"
                            3
                        ","
IA/AN/IND/3584/2012
","

J-11011/235/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/3584/2012
File No : J-11011/235/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of Receipt of Proposal : 21/05/2012
Date of TOR Granted : 21 Feb 2013",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/58_EC_form-1_AN-DWN-2009-1.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_18_Apr_2013_1527168471240.pdf"
"
                            4
                        ","
IA/AN/IND/3592/2012
","

J-11011/236/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/3592/2012
File No : J-11011/236/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of Receipt of Proposal : 21/05/2012
Date of TOR Granted : 21 Feb 2013",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/59_EC_form-1_AN-DWN-2009-2.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_18_Apr_2013_1538513971240.pdf"
"
                            5
                        ","
IA/AN/IND/3599/2012
","

J-11011/237/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/3599/2012
File No : J-11011/237/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of Receipt of Proposal : 21/05/2012
Date of TOR Granted : 21 Feb 2013",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/28_EC_form-1_AN-DWN-2009-3.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_18_Apr_2013_1539388401240.pdf"
"
                            6
                        ","
IA/AN/IND/3609/2012
","

J-11011/238/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/3609/2012
File No : J-11011/238/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of Receipt of Proposal : 21/05/2012
Date of TOR Granted : 21 Feb 2013",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/10_EC_form-1_AN-DWN-2009-5.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_18_Apr_2013_1540435501240.pdf"
"
                            7
                        ","
IA/AN/IND/3630/2012
","

J-11011/240/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/IND/3630/2012
File No : J-11011/240/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of Receipt of Proposal : 21/05/2012
Date of TOR Granted : 21 Feb 2013",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/17_EC_form-1_AN-DWN-2009-18.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_09_Apr_2013_1627229771240.pdf"
"
                            8
                        ","
IA/AN/IND/3630/2012
","

J-11011/240/2012-IA-II(I)
","

Drilling
","

M/s ONGC Ltd.
","
EC GRANTED
","






",1,"Proposal No : IA/AN/IND/3630/2012
File No : J-11011/240/2012-IA-II(I)
Proposal Name : Drilling","State : Andaman and Nicobar
District : Select
Village :","Date of apply for TOR : 21/05/2012
Date of TOR Granted : 21 Feb 2013
Date of Receipt for EC : 07 Jan 2014
Date of EC Granted : 23 Jul 2014",Industrial Projects-1,M/s ONGC Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/17_EC_form-1_AN-DWN-2009-18.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2013_4_09_Apr_2013_1627229771240.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/EC/090120141240_2012.pdf
https://environmentclearance.nic.in/writereaddata/EIA/11116125012171240-2012.pdf"
"
                            9
                        ","
IA/AN/IND/6039/2007
","

J-11011/658/2007-IA.II(I)
","

Integrated Titanium Project
","

M/s Saraf Agencies Pvt. Ltd
","
Rejected
","






",1,"Proposal No : IA/AN/IND/6039/2007
File No : J-11011/658/2007-IA.II(I)
Proposal Name : Integrated Titanium Project","State : Andaman and Nicobar
District : Kolkata
Village : Kolkata","Date of Receipt for Proposal : 13 Jul 2007
Date of Rejected : 17 Nov 2014",Industrial Projects-1,M/s Saraf Agencies Pvt. Ltd,https://environmentclearance.nic.in/Default.aspx,
"
                            10
                        ","
IA/AN/IND/6039/2007
","

J-11011/658/2007-IA.II(I)
","

Integrated Titanium Project
","

M/s Saraf Agencies Pvt. Ltd
","
EC GRANTED
","






",,,,,,,,
"
                            11
                        ","
IA/AN/MIS/19319/2013
","

10-44/2013-IA.III
","

Taj at Have lock
","

M/s. The Indian Hotels Company Ltd.
","
Closed
","






",1,"Proposal No : IA/AN/MIS/19319/2013
File No : 10-44/2013-IA.III
Proposal Name : Taj at Have lock","State : Andaman and Nicobar
District : Andamans
Village : Radha Nagar","Date of Receipt for Proposal : 24 Jul 2013
Date of Closed : 22 May 2014",Infrastructure and Miscellaneous Projects & CRZ,M/s. The Indian Hotels Company Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            12
                        ","
IA/AN/MIS/19320/2013
","

11-43/2013-IA.III
","

Construction of 5 star resort (Vivanta by Taj at Havelock)
","

M/s. Indian Hotel Company Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/AN/MIS/19320/2013
File No : 11-43/2013-IA.III
Proposal Name : Construction of 5 star resort (Vivanta by Taj at Havelock)","State : Andaman and Nicobar
District : Andamans
Village : radha nagar","Date of Receipt of Proposal : 19/07/2013
Date of TOR Granted : 22 May 2014",Infrastructure and Miscellaneous Projects & CRZ,M/s. Indian Hotel Company Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/2013_8_05_Aug_2013_1543375571Form-I(withAnnexure).pdf
https://environmentclearance.nic.in/writereaddata/form-1A/2013_8_05_Aug_2013_1543376001REIAwithAnnexures.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/052220141not15.pdf"
"
                            13
                        ","
IA/AN/MIS/19320/2013
","

11-43/2013-IA.III
","

Construction of 5 star resort (Vivanta by Taj at Havelock)
","

M/s. Indian Hotel Company Ltd.
","
EC GRANTED
","






",1,"Proposal No : IA/AN/MIS/19320/2013
File No : 11-43/2013-IA.III
Proposal Name : Construction of 5 star resort (Vivanta by Taj at Havelock)","State : Andaman and Nicobar
District : Andamans
Village : radha nagar","Date of apply for TOR : 19/07/2013
Date of TOR Granted : 22 May 2014
Date of Receipt for EC : 20 May 2013
Date of EC Granted : 02 May 2014",Infrastructure and Miscellaneous Projects & CRZ,M/s. Indian Hotel Company Ltd.,,"https://environmentclearance.nic.in/writereaddata/form-1/2013_8_05_Aug_2013_1543375571Form-I(withAnnexure).pdf
https://environmentclearance.nic.in/writereaddata/form-1A/2013_8_05_Aug_2013_1543376001REIAwithAnnexures.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/052220141not15.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/EC/05232014111-43(2013).pdf"
"
                            14
                        ","
IA/AN/MIS/19577/2013
","

11-44/2013-IA.III
","

Taj at Havelock
","

M/s. The Indian Hotels Company Ltd.
","
Closed
","






",1,"Proposal No : IA/AN/MIS/19577/2013
File No : 11-44/2013-IA.III
Proposal Name : Taj at Havelock","State : Andaman and Nicobar
District : Andamans
Village : Radha Nagar Beach","Date of Receipt for Proposal : 24 Jul 2013
Date of Closed : 22 May 2014",Infrastructure and Miscellaneous Projects & CRZ,M/s. The Indian Hotels Company Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            15
                        ","
IA/AN/MIS/21136/2013
","

11-5/2012-IA.III
","

SCZMA
","

M/s. Soma Andaman Resorts Pvt. Ltd
","
DList
","






",1,"Proposal No : IA/AN/MIS/21136/2013
File No : 11-5/2012-IA.III
Proposal Name : SCZMA","State : Andaman and Nicobar
District : Andamans
Village : Bharatpur","Date of Receipt for Proposal : 06 Nov 2013
Date of Delisted : 22 May 2014",Infrastructure and Miscellaneous Projects & CRZ,M/s. Soma Andaman Resorts Pvt. Ltd,https://environmentclearance.nic.in/Default.aspx,
"
                            16
                        ","
IA/AN/MIS/21740/2014
","

11-85/2013-IA.III
","

CRZ for Hotel and Resore at village Badabalu, Tehsil Ferrarganj, Andanman and Nicobar
","

M/s Smartspace Infrastructure Pvt. Ltd. and M/s Surya Chidya Tapu Resorts Pvt. Ltd.
","
DList
","






",1,"Proposal No : IA/AN/MIS/21740/2014
File No : 11-85/2013-IA.III
Proposal Name : CRZ for Hotel and Resore at village Badabalu, Tehsil Ferrarganj, Andanman and Nicobar","State : Andaman and Nicobar
District : Andamans
Village : Badabalu","Date of Receipt for Proposal : 20 Jan 2014
Date of Delisted : 24 May 2014",Infrastructure and Miscellaneous Projects & CRZ,M/s Smartspace Infrastructure Pvt. Ltd. and M/s Surya Chidya Tapu Resorts Pvt. Ltd.,https://environmentclearance.nic.in/Default.aspx,
