Sno.,Proposal No.,MOEFCC File No.,Project Name,Company,Proposal Status,View,S.No,Proposal Details,Location,Important Dates,Category,Company/Proponent,Forest Clearance Required ?,* Attached Files
"
                            1
                        ","
IA/AP/IND/9783/2011
","

J-120
","

TATA
","

dssd
","
Closed
","






",1,"Proposal No : IA/AP/IND/9783/2011
File No : J-120
Proposal Name : TATA","State : Andhra Pradesh
District : karimnagar
Village : sdf","Date of Receipt for Proposal : 01 Jan 2011
Date of Closed : 23 May 2014",Industrial Projects-1,dssd,https://environmentclearance.nic.in/Default.aspx,
"
                            2
                        ","
IA/AP/THE/10488/2012
","

J-13012/26/2012-IA-II(T)
","

Dr. Narla Tata Rao Thermal Power Station (Dr. NTTPS) Stage - V (1x800 MW)
","

M/s Andhra Pradesh Power Generation Corporation Ltd. (APGENCO)
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/THE/10488/2012
File No : J-13012/26/2012-IA-II(T)
Proposal Name : Dr. Narla Tata Rao Thermal Power Station (Dr. NTTPS) Stage - V (1x800 MW)","State : Andhra Pradesh
District : Krishna
Village : Ibrahimpatnam (M)","Date of Receipt of Proposal : 09/07/2012
Date of TOR Granted : 26 Sep 2012",Thermal Projects,M/s Andhra Pradesh Power Generation Corporation Ltd. (APGENCO),,"https://environmentclearance.nic.in/writereaddata/form-1/55_FORM-1%20&TOR%20Dr.NTTPS%20V%20final.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/IAAPTHE1048820122299TOR.pdf"
"
                            3
                        ","
IA/CG/IND/4913/2010
","

J-11011/420/2006-IA.II(I)
","

5.5 MTPA Integrated Steel Plant
","

M/s Tata Steel Ltd (For TORs)
","
TOR GRANTED
","






",1,"Proposal No : IA/CG/IND/4913/2010
File No : J-11011/420/2006-IA.II(I)
Proposal Name : 5.5 MTPA Integrated Steel Plant","State : Chhattisgarh
District : Bastar
Village : Lohamdiguda","Date of Receipt of Proposal : 11/08/2010
Date of TOR Granted : 23 Mar 2007",Industrial Projects-1,M/s Tata Steel Ltd (For TORs),,https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=1971
"
                            4
                        ","
IA/CG/IND/4913/2010
","

J-11011/420/2006-IA.II(I)
","

5.5 MTPA Integrated Steel Plant
","

M/s Tata Steel Ltd (For TORs)
","
EC GRANTED
","






",1,"Proposal No : IA/CG/IND/4913/2010
File No : J-11011/420/2006-IA.II(I)
Proposal Name : 5.5 MTPA Integrated Steel Plant","State : Chhattisgarh
District : Bastar
Village : Lohamdiguda","Date of apply for TOR : 11/08/2010
Date of TOR Granted : 23 Mar 2007
Date of Receipt for EC : 11 Aug 2010
Date of EC Granted : 03 Dec 2010",Industrial Projects-1,M/s Tata Steel Ltd (For TORs),,"https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=1971
https://environmentclearance.nic.in/Auth/openletter.aspx?EC=1126
https://environmentclearance.nic.in/writereaddata/Compliance/51_5-05-2011-CR-(Dec-11).pdf
https://environmentclearance.nic.in/writereaddata/Compliance/9_5-05-2011-CR-(Dec-12).pdf
https://environmentclearance.nic.in/writereaddata/Compliance/24_5-05-2011-CR-(Jun-12).pdf
https://environmentclearance.nic.in/writereaddata/Compliance/42_5-05-2011-CR-(Jun-13).pdf"
"
                            5
                        ","
IA/DL/NCP/1042/2007
","

21-252/2007-IA.III
","

Environmental clearance for the proposed software development facility of TATA consultancy service Ltd. at IDCO, Bhubaneswar, Orissa
","

TATA Consultancy Services Plot B1, Block EP Salt Lake Electronics complex, Sec-V, Bidhan Nagar, Kolkata.
","
EC GRANTED
","






",1,"Proposal No : IA/DL/NCP/1042/2007
File No : 21-252/2007-IA.III
Proposal Name : Environmental clearance for the proposed software development facility of TATA consultancy service Ltd. at IDCO, Bhubaneswar, Orissa","State : Delhi
District :
Village :",Date of EC Granted : 04 Aug 2008,New Construction Projects and Industrial Estates,"TATA Consultancy Services Plot B1, Block EP Salt Lake Electronics complex, Sec-V, Bidhan Nagar, Kolkata.",,https://environmentclearance.nic.in/Auth/openletter.aspx?EC=1279
"
                            6
                        ","
IA/GJ/IND/23436/2000
","

J-11011/66/99-IA-II (I)
","

Expansion of clinkerisation plant at Mithapur DistrictJamnagar, Gujarat
","

M/S. Tata Chemicals Ltd.
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/IND/23436/2000
File No : J-11011/66/99-IA-II (I)
Proposal Name : Expansion of clinkerisation plant at Mithapur DistrictJamnagar, Gujarat","State : Gujarat
District : Jamnagar
Village :","Date of apply for TOR : 24/11/2000
Date of TOR Granted : N/A
Date of Receipt for EC :
Date of EC Granted : 20 Nov 2000",Industrial Projects-1,M/S. Tata Chemicals Ltd.,,"https://environmentclearance.nic.in/writereaddata/Form-1A/EC/0_0_26_Jun_2014_094122013105-13-2000(EC).pdf
https://environmentclearance.nic.in/writereaddata/Monitoring/20_05-13-2000%20(MR)-III.pdf
https://environmentclearance.nic.in/writereaddata/Monitoring/37_05-13-2000%20(MR)-II.pdf
https://environmentclearance.nic.in/writereaddata/Monitoring/14_05-13-2000%20(MR)-I.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/12_05-13-2000%20(CR)%20Dec-11.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/31_05-13-2000%20(CR)%20June-12.pdf"
"
                            7
                        ","
IA/GJ/IND/4588/2008
","

J-11011/371/2008-IA.II(I)
","

Manufacturing of Organic Titanates
","

M/s Om Tatanatus 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/IND/4588/2008
File No : J-11011/371/2008-IA.II(I)
Proposal Name : Manufacturing of Organic Titanates","State : Gujarat
District : Valsad
Village : GIDC Estate Sarigam",Date of EC Granted : 22 Sep 2008,Industrial Projects-1,M/s Om Tatanatus,,"https://environmentclearance.nic.in/Auth/openletter.aspx?EC=1951
https://environmentclearance.nic.in/writereaddata/Monitoring/5_5-257-2008-(MR).pdf
https://environmentclearance.nic.in/writereaddata/Compliance/52_5-257-2008-(CR)%20Dec-12.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/23_05-257-2008%20(CR)%20Dec-12.pdf"
"
                            8
                        ","
IA/GJ/IND2/53436/2013
","

AWH- 54427
","

Proposed Expansion of Soda Ash, Cement and Captive Cogeneration Power Plant by M/s. TATA Chemicals Ltd.
","

Tata Chemicals Limited
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/IND2/53436/2013
File No : AWH- 54427
Proposal Name : Proposed Expansion of Soda Ash, Cement and Captive Cogeneration Power Plant by M/s. TATA Chemicals Ltd.","State : Gujarat
District : Devbhumi Dwarka
Village :","Date of apply for TOR : 28/05/2013
Date of TOR Granted : 28 May 2013
Date of Receipt for EC : 28 May 2013
Date of EC Granted : 28 May 2013",Industrial Projects-2,Tata Chemicals Limited,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/04_May_2016_133446107C1XZY8YMCTO_2013.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/EC/04_May_2016_133446133JXGJ36LNCTO_2013.pdf"
"
                            9
                        ","
IA/GJ/IND2/53436/2013
","

AWH- 54427
","

Proposed Expansion of Soda Ash, Cement and Captive Cogeneration Power Plant by M/s. TATA Chemicals Ltd.
","

Tata Chemicals Limited
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/IND2/53436/2013
File No : AWH- 54427
Proposal Name : Proposed Expansion of Soda Ash, Cement and Captive Cogeneration Power Plant by M/s. TATA Chemicals Ltd.","State : Gujarat
District : Devbhumi Dwarka
Village :","Date of Receipt of Proposal : 28/05/2013
Date of TOR Granted : 28 May 2013",Industrial Projects-2,Tata Chemicals Limited,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/04_May_2016_133446107C1XZY8YMCTO_2013.pdf
"
                            10
                        ","
IA/GJ/MIN/11479/2007
","

No.J-11015/397/2007-IA.II(M)
","

Pachhatar Limestone Mine
","

M/s Tata Chemicals
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/11479/2007
File No : No.J-11015/397/2007-IA.II(M)
Proposal Name : Pachhatar Limestone Mine","State : Gujarat
District : Jamnagar
Village :","Date of Receipt of Proposal : 05/01/2007
Date of TOR Granted : 14 Sep 2007",Mining Projects,M/s Tata Chemicals,,https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=1889
